date,symbol,action,price,pnl_pct,commission,reason
2015-06-30,AAPL,SELL,27.98452766571045,,0.013992263832855225,
2015-08-21,AAPL,EXIT,23.74073720397949,15.23258823764625,,TAKE PROFIT (15.2%)
2015-10-23,AAPL,BUY,26.730777241516112,,0.006682694310379028,
2015-12-17,AAPL,EXIT,24.528996574401855,-8.16340557183237,,STOP LOSS (-8.2%)
2015-12-18,AAPL,SELL,23.865017456054687,,0.005966254364013672,
2016-09-15,AAPL,EXIT,26.49753759155273,-10.942120847393127,,STOP LOSS (-10.9%)
2017-06-29,AAPL,SELL,33.33908344116211,,0.008334770860290528,
2017-08-02,AAPL,EXIT,36.520713143920894,-9.455678325350267,,STOP LOSS (-9.5%)
2017-11-03,AAPL,BUY,40.247928067016595,,0.010061982016754149,
2018-02-05,AAPL,EXIT,36.58512649536133,-9.027818851150055,,STOP LOSS (-9.0%)
2018-02-07,AAPL,SELL,37.2981672088623,,0.009324541802215576,
2018-02-15,AAPL,EXIT,40.672515206909175,-8.959786084849116,,STOP LOSS (-9.0%)
2020-03-09,AAPL,SELL,64.26211726074219,,0.016065529315185546,
2020-03-23,AAPL,EXIT,54.256974856567375,15.636760374050365,,TAKE PROFIT (15.6%)
2021-03-03,AAPL,SELL,118.7907784362793,,0.029697694609069826,
2021-04-09,AAPL,EXIT,129.64503021240233,-9.050044793008926,,STOP LOSS (-9.1%)
2022-09-22,AAPL,SELL,149.96027325439454,,0.037490068313598635,
2022-12-28,AAPL,EXIT,124.14994552001951,17.277621423366256,,TAKE PROFIT (17.3%)
2023-08-18,AAPL,SELL,172.330775,,0.04308269375,
2023-09-01,AAPL,EXIT,187.4151320800781,-8.6662088209252,,STOP LOSS (-8.7%)
2025-01-30,AAPL,SELL,236.11010924072266,,0.05902752731018067,
2025-04-04,AAPL,EXIT,187.71258054199217,20.561414705733146,,TAKE PROFIT (20.6%)
2025-06-20,AAPL,SELL,200.2298855957031,,0.05005747139892578,
2025-08-07,AAPL,EXIT,219.53794724121093,-9.555302707568494,,STOP LOSS (-9.6%)
2015-04-30,MSFT,BUY,41.694278466796874,,0.010423569616699218,
2015-06-29,MSFT,EXIT,38.22000605163574,-8.259339306408668,,STOP LOSS (-8.3%)
