date,symbol,action,price,qty,pnl_pct,reason
2018-10-16,AAPL,BUY,52.61605287780761,20.0,,
2018-10-16,MSFT,BUY,103.25712310180663,20.0,,
2018-10-24,MSFT,EXIT,95.03041351928711,,-7.893522634277521,STOP LOSS (-7.9%)
2018-10-24,MSFT,BUY,95.18258391723631,20.0,,
2018-11-01,TSLA,BUY,22.970361264038083,20.0,,
2018-11-05,AAPL,EXIT,47.67009678649902,,-9.327551597206222,STOP LOSS (-9.3%)
2018-11-05,AAPL,BUY,47.74643000793456,20.0,,
2018-11-14,AAPL,EXIT,44.32682246704101,,-7.087687373647947,STOP LOSS (-7.1%)
2018-11-16,AAPL,BUY,45.99735119934082,20.0,,
2018-11-20,AAPL,EXIT,41.99656536254883,,-8.624761169372544,STOP LOSS (-8.6%)
2018-12-20,TSLA,EXIT,21.00851313781738,,-8.46755450268935,STOP LOSS (-8.5%)
2018-12-24,MSFT,EXIT,87.80156682739258,,-7.680732438137544,STOP LOSS (-7.7%)
2019-01-09,MSFT,BUY,97.41560822753905,20.0,,
2019-03-21,AAPL,BUY,46.5669937133789,20.0,,
2019-03-21,MSFT,EXIT,112.61644634399414,,15.696666770324608,TAKE PROFIT (15.7%)
2019-03-22,MSFT,BUY,109.82251373291015,20.0,,
2019-03-22,GOOGL,BUY,59.935441305541985,20.0,,
2019-05-23,AAPL,EXIT,42.980255776977536,,-7.62842073133867,STOP LOSS (-7.6%)
2019-05-29,GOOGL,EXIT,55.49355255432129,,-7.336991718223225,STOP LOSS (-7.3%)
2019-06-07,AAPL,BUY,45.56262030029296,20.0,,
2019-06-18,MSFT,EXIT,127.08021549072265,,15.806820238042057,TAKE PROFIT (15.8%)
2019-06-18,MSFT,BUY,127.28370662841796,20.0,,
2019-07-31,GOOGL,BUY,60.45903031311035,20.0,,
2019-09-11,AAPL,EXIT,53.692900723266604,,17.938540585798876,TAKE PROFIT (17.9%)
2019-09-26,AAPL,BUY,52.8889417602539,20.0,,
2019-10-29,TSLA,BUY,21.09819822692871,20.0,,
2019-11-01,AAPL,EXIT,61.43262226257324,,16.246999207202673,TAKE PROFIT (16.2%)
2019-11-01,AAPL,BUY,61.53099315490722,20.0,,
2019-12-13,MSFT,EXIT,146.27214030761718,,15.01020483033358,TAKE PROFIT (15.0%)
2019-12-13,MSFT,BUY,146.50636311035154,20.0,,
2019-12-16,TSLA,EXIT,25.412985777282714,,20.547414379562717,TAKE PROFIT (20.5%)
