date,symbol,action,price,qty,risk_mult,pnl_pct,reason
2015-11-13,GOOGL,BUY,36.729540197753906,12.0,1.0,,
2015-11-30,MSFT,BUY,47.51903724060058,12.0,1.0,,
2016-01-15,MSFT,EXIT,44.510078759765626,,,-6.257117318085953,STOP LOSS
2016-01-22,MSFT,BUY,45.71797214355468,12.0,1.0,,
2016-04-19,TSLA,BUY,16.50452607421875,12.0,1.0,,
2016-05-03,TSLA,EXIT,15.475609516143798,,,-6.159075114128695,STOP LOSS
2016-06-24,GOOGL,EXIT,33.95197698059082,,,-7.488195806720737,STOP LOSS
2016-06-27,MSFT,EXIT,42.87674673156738,,,-6.139591105878442,STOP LOSS
2016-07-29,GOOGL,BUY,39.27405083312988,12.0,1.0,,
2016-08-01,AAPL,BUY,24.183825155639646,12.0,1.0,,
2016-08-26,MSFT,BUY,51.77894268493652,12.0,1.0,,
2017-02-07,AAPL,EXIT,30.2631731842041,,,25.238265294133832,TAKE PROFIT
2017-02-23,TSLA,BUY,17.079652784729003,12.0,1.0,,
2017-03-09,AAPL,BUY,32.097950161743164,12.0,1.0,,
2017-05-01,TSLA,EXIT,21.504781759643553,,,26.009583627916484,TAKE PROFIT
2017-05-03,TSLA,BUY,20.75125455780029,12.0,1.0,,
2017-05-25,GOOGL,EXIT,49.1471246673584,,,25.239115403252427,TAKE PROFIT
2017-06-02,MSFT,EXIT,65.12077426757813,,,25.86760026024304,TAKE PROFIT
2017-06-06,GOOGL,BUY,49.46503554382324,12.0,1.0,,
2017-06-09,MSFT,BUY,63.91617385253906,12.0,1.0,,
2017-06-30,GOOGL,EXIT,46.06607250061035,,,-6.796883176891025,STOP LOSS
2017-07-05,GOOGL,BUY,46.26788834838867,12.0,1.0,,
2017-11-03,AAPL,EXIT,40.18358285827637,,,25.290728099449645,TAKE PROFIT
2017-11-03,AAPL,BUY,40.247928067016595,12.0,1.0,,
2018-01-04,MSFT,EXIT,79.87085135498047,,,25.061927797420154,TAKE PROFIT
2018-01-04,MSFT,BUY,79.9987470336914,12.0,1.0,,
2018-01-23,GOOGL,EXIT,58.27976631774902,,,26.062436695899226,TAKE PROFIT
2018-02-02,AAPL,EXIT,37.52260451965332,,,-6.696696102134268,STOP LOSS
2018-02-02,GOOGL,BUY,55.545678945922845,12.0,1.0,,
2018-02-08,GOOGL,EXIT,49.93250278930664,,,-10.033540462117523,STOP LOSS
2018-02-12,AAPL,BUY,38.25552884216308,12.0,1.0,,
2018-02-28,GOOGL,BUY,54.78734036865234,12.0,1.0,,
2018-03-23,GOOGL,EXIT,50.86602813720703,,,-7.08299910618335,STOP LOSS
2018-03-27,TSLA,EXIT,18.597109912109374,,,-10.309039581789554,STOP LOSS
2018-04-17,GOOGL,BUY,53.568432366943355,12.0,1.0,,
2018-07-02,TSLA,BUY,22.355869743347167,12.0,1.0,,
2018-07-03,TSLA,EXIT,20.707421730041503,,,-7.299509396393127,STOP LOSS
2018-07-25,MSFT,EXIT,102.53953050537109,,,28.27904387602243,TAKE PROFIT
2018-07-30,MSFT,BUY,97.64407760009765,12.0,1.0,,
2018-08-02,AAPL,EXIT,48.87022386779785,,,27.849105290558242,TAKE PROFIT
2018-09-07,AAPL,BUY,52.41472388305664,12.0,1.0,,
2018-11-02,AAPL,EXIT,49.062898736572265,,,-6.319871892276447,STOP LOSS
2018-12-17,TSLA,BUY,23.246583041381832,12.0,1.0,,
2018-12-20,TSLA,EXIT,21.00851313781738,,,-9.555166163073144,STOP LOSS
2018-12-21,MSFT,EXIT,91.62592798461914,,,-6.088224018965917,STOP LOSS
2018-12-21,GOOGL,EXIT,49.11689831848145,,,-8.236584262165104,STOP LOSS
2018-12-28,TSLA,BUY,22.275805819702146,12.0,1.0,,
2019-01-02,TSLA,EXIT,20.658127624511717,,,-7.187791428346711,STOP LOSS
2019-03-26,GOOGL,BUY,59.05153696289062,12.0,1.0,,
2019-04-17,MSFT,BUY,114.25105678710936,12.0,1.0,,
2019-04-30,AAPL,BUY,47.89891472167968,12.0,1.0,,
2019-05-13,AAPL,EXIT,44.42999989929199,,,-7.167891766340941,STOP LOSS
2019-05-31,GOOGL,EXIT,54.827597097778316,,,-7.078634841129655,STOP LOSS
2019-08-01,AAPL,BUY,49.942773385620114,12.0,1.0,,
2019-08-05,AAPL,EXIT,46.252926986694334,,,-7.313999972645567,STOP LOSS
2019-08-05,GOOGL,BUY,57.31002875061035,12.0,1.0,,
2019-09-20,AAPL,BUY,52.369411019897456,12.0,1.0,,
2019-11-22,TSLA,BUY,22.220429370117184,12.0,1.0,,
2019-11-25,MSFT,EXIT,143.14846632080076,,,25.393218068150546,TAKE PROFIT
2019-12-02,MSFT,BUY,141.78492235107421,12.0,1.0,,
