date,symbol,action,price,qty,pnl_pct,reason
2018-10-16,AAPL,BUY,52.61605287780761,20.0,,
2018-10-16,MSFT,BUY,103.25712310180663,20.0,,
2018-10-24,MSFT,EXIT,95.03041351928711,,-7.893522634277521,STOP LOSS (-7.9%)
2018-10-24,MSFT,BUY,95.18258391723631,20.0,,
2018-11-01,TSLA,BUY,22.970361264038083,20.0,,
2018-11-05,AAPL,EXIT,47.67009678649902,,-9.327551597206222,STOP LOSS (-9.3%)
2018-11-05,AAPL,BUY,47.74643000793456,20.0,,
2018-11-14,AAPL,EXIT,44.32682246704101,,-7.087687373647947,STOP LOSS (-7.1%)
2018-11-16,AAPL,BUY,45.99735119934082,20.0,,
2018-11-20,AAPL,EXIT,41.99656536254883,,-8.624761169372544,STOP LOSS (-8.6%)
2018-12-20,TSLA,EXIT,21.00851313781738,,-8.46755450268935,STOP LOSS (-8.5%)
2018-12-24,MSFT,EXIT,87.80156682739258,,-7.680732438137544,STOP LOSS (-7.7%)
2019-01-09,MSFT,BUY,97.41560822753905,20.0,,
2019-03-21,AAPL,BUY,46.5669937133789,20.0,,
2019-03-22,GOOGL,BUY,59.935441305541985,20.0,,
2019-04-23,MSFT,EXIT,117.50628439331055,,20.72024886440465,TAKE PROFIT (20.7%)
2019-04-23,MSFT,BUY,117.69444497680664,20.0,,
2019-05-23,AAPL,EXIT,42.980255776977536,,-7.62842073133867,STOP LOSS (-7.6%)
2019-05-29,GOOGL,EXIT,55.49355255432129,,-7.336991718223225,STOP LOSS (-7.3%)
2019-06-07,AAPL,BUY,45.56262030029296,20.0,,
2019-07-31,GOOGL,BUY,60.45903031311035,20.0,,
2019-10-10,AAPL,EXIT,55.253815298461916,,21.36715003877755,TAKE PROFIT (21.4%)
2019-10-10,AAPL,BUY,55.34229218444824,20.0,,
2019-10-29,TSLA,BUY,21.09819822692871,20.0,,
2019-11-15,MSFT,EXIT,141.47440686035156,,20.301070309524796,TAKE PROFIT (20.3%)
2019-11-15,MSFT,BUY,141.70094714355469,20.0,,
2019-12-16,AAPL,EXIT,67.40734991455078,,21.898310147485894,TAKE PROFIT (21.9%)
2019-12-16,AAPL,BUY,67.51528802490233,20.0,,
2019-12-16,TSLA,EXIT,25.412985777282714,,20.547414379562717,TAKE PROFIT (20.5%)
2019-12-16,TSLA,BUY,25.453679109191892,20.0,,
2020-01-07,TSLA,EXIT,31.245649589538573,,22.853226790087046,TAKE PROFIT (22.9%)
