date,symbol,action,price,qty,pnl_pct,reason
2018-10-19,AAPL,BUY,51.94339222412109,5.0,,
2018-11-05,AAPL,EXIT,47.67009678649902,,-8.153354345112671,STOP LOSS (-8.2%)
2019-04-30,AAPL,BUY,47.89891472167968,5.0,,
2019-05-20,AAPL,EXIT,43.80081157531738,,-8.482518791390659,STOP LOSS (-8.5%)
2019-06-07,AAPL,BUY,45.56262030029296,5.0,,
2019-09-11,AAPL,EXIT,53.692900723266604,,17.938540585798876,TAKE PROFIT (17.9%)
2019-09-24,AAPL,BUY,52.35737747497558,5.0,,
2019-11-01,AAPL,EXIT,61.43262226257324,,17.427210211446734,TAKE PROFIT (17.4%)
2019-12-02,AAPL,BUY,63.727741213989255,5.0,,
2020-01-09,AAPL,EXIT,74.57778695068359,,17.11931966585702,TAKE PROFIT (17.1%)
2020-01-31,AAPL,BUY,74.66827604370117,5.0,,
2020-02-27,AAPL,EXIT,66.03665169677734,,-11.489153336352091,STOP LOSS (-11.5%)
2020-07-23,AAPL,BUY,90.04994104614256,5.0,,
2020-08-03,AAPL,EXIT,105.48904278564453,,17.23883476260918,TAKE PROFIT (17.2%)
2020-09-04,AAPL,BUY,117.53006033935546,5.0,,
2020-09-17,AAPL,EXIT,107.03978026733398,,-8.85269662710789,STOP LOSS (-8.9%)
2021-01-06,AAPL,BUY,123.22235467529296,5.0,,
2021-03-08,AAPL,EXIT,113.24344678344727,,-8.02471323214261,STOP LOSS (-8.0%)
2021-03-31,AAPL,BUY,119.06872772827147,5.0,,
2021-07-06,AAPL,EXIT,138.4509639038086,,16.371289084994828,TAKE PROFIT (16.4%)
2021-07-28,AAPL,BUY,141.5628515258789,5.0,,
2021-12-07,AAPL,EXIT,167.37206813964843,,18.326291956209527,TAKE PROFIT (18.3%)
2022-01-28,AAPL,BUY,166.8076405883789,5.0,,
2022-03-11,AAPL,EXIT,151.480769140625,,-9.115643476218695,STOP LOSS (-9.1%)
2022-03-18,AAPL,BUY,160.7935863647461,5.0,,
2022-05-11,AAPL,EXIT,143.63434439697266,,-10.60007608388833,STOP LOSS (-10.6%)
2022-08-26,AAPL,BUY,160.89949072265622,5.0,,
2022-09-23,AAPL,EXIT,147.69231368408202,,-8.134847742575305,STOP LOSS (-8.1%)
2023-03-03,AAPL,BUY,148.99234383544922,5.0,,
2023-05-18,AAPL,EXIT,172.65066353759767,,15.971660157351833,TAKE PROFIT (16.0%)
2023-05-25,AAPL,BUY,170.89212810058592,5.0,,
2024-06-11,AAPL,EXIT,205.39573251953124,,20.28651228631854,TAKE PROFIT (20.3%)
2024-07-24,AAPL,BUY,217.03626793212888,5.0,,
2024-12-16,AAPL,EXIT,249.4763303100586,,15.038870482729807,TAKE PROFIT (15.0%)
2025-01-02,AAPL,BUY,242.71919714355465,5.0,,
2025-01-21,AAPL,EXIT,221.2532298461914,,-8.770967953332388,STOP LOSS (-8.8%)
2025-01-28,AAPL,BUY,237.1551028198242,5.0,,
2025-03-12,AAPL,EXIT,215.8655908935547,,-8.904164800960654,STOP LOSS (-8.9%)
2025-09-10,AAPL,BUY,226.5396378662109,5.0,,
2025-10-20,AAPL,EXIT,261.5317264892578,,15.538773633664896,TAKE PROFIT (15.5%)
2025-10-22,AAPL,BUY,258.16471018066403,5.0,,
2018-10-16,MSFT,BUY,103.25712310180663,5.0,,
2018-11-20,MSFT,EXIT,94.87195579223632,,-8.047104866633738,STOP LOSS (-8.0%)
2018-12-04,MSFT,BUY,101.3862046508789,5.0,,
2018-12-21,MSFT,EXIT,91.62592798461914,,-9.554472691511428,STOP LOSS (-9.6%)
2019-05-07,MSFT,BUY,117.76948665161132,5.0,,
2019-10-28,MSFT,EXIT,136.02183271484375,,15.590838658737557,TAKE PROFIT (15.6%)
2019-12-02,MSFT,BUY,141.78492235107421,5.0,,
2020-01-30,MSFT,EXIT,163.54686842041016,,15.440914276951133,TAKE PROFIT (15.4%)
2020-02-21,MSFT,BUY,169.7795138671875,5.0,,
2020-02-27,MSFT,EXIT,150.13602060546876,,-11.499201426929734,STOP LOSS (-11.5%)
2020-05-26,MSFT,BUY,173.09327420654296,5.0,,
2020-07-06,MSFT,EXIT,200.5421660888672,,15.950622109092771,TAKE PROFIT (16.0%)
2020-07-23,MSFT,BUY,193.0842603149414,5.0,,
2021-01-26,MSFT,EXIT,222.24427292480468,,15.194376968150902,TAKE PROFIT (15.2%)
2021-02-22,MSFT,BUY,225.2063271972656,5.0,,
2021-06-29,MSFT,EXIT,260.817058203125,,15.905215521590952,TAKE PROFIT (15.9%)
2021-08-18,MSFT,BUY,280.3764045410156,5.0,,
2021-11-04,MSFT,EXIT,323.9397983886719,,15.629971874975467,TAKE PROFIT (15.6%)
2021-11-26,MSFT,BUY,318.5208788818359,5.0,,
2022-01-18,MSFT,EXIT,291.9383814453125,,-8.272223734189094,STOP LOSS (-8.3%)
2022-01-31,MSFT,BUY,300.4539466552734,5.0,,
2022-02-23,MSFT,EXIT,270.9094112060547,,-9.76110805862143,STOP LOSS (-9.8%)
2023-04-24,MSFT,BUY,275.4717270996093,5.0,,
2023-05-25,MSFT,EXIT,318.82088044433596,,15.828998030729084,TAKE PROFIT (15.8%)
2023-06-07,MSFT,BUY,316.84274912109373,5.0,,
2023-11-16,MSFT,EXIT,369.5038733642578,,16.713957999850688,TAKE PROFIT (16.7%)
2023-12-04,MSFT,BUY,363.1790744384765,5.0,,
2024-03-14,MSFT,EXIT,418.45705007324216,,15.312834140497502,TAKE PROFIT (15.3%)
2024-03-15,MSFT,BUY,410.4531916259765,5.0,,
2025-03-10,MSFT,EXIT,376.96994162597656,,-8.084096620452106,STOP LOSS (-8.1%)
2025-07-29,MSFT,BUY,510.01733737792966,5.0,,
2026-01-14,MSFT,EXIT,457.9672257080078,,-10.133664243920775,STOP LOSS (-10.1%)
2019-03-07,GOOGL,BUY,57.11646887512207,5.0,,
