date,symbol,action,price,qty,pnl_pct,reason
2018-10-16,AAPL,BUY,52.61605287780761,20.0,,
2018-10-16,MSFT,BUY,103.25712310180663,20.0,,
2018-10-29,TSLA,BUY,22.34119240722656,20.0,,
2018-11-05,AAPL,EXIT,47.67009678649902,,-9.327551597206222,STOP LOSS (-9.3%)
2018-11-05,AAPL,BUY,47.74643000793456,20.0,,
2018-11-20,AAPL,EXIT,41.99656536254883,,-11.97207936347173,STOP LOSS (-12.0%)
2018-11-20,MSFT,EXIT,94.87195579223632,,-8.047104866633738,STOP LOSS (-8.0%)
2018-11-20,MSFT,BUY,95.02387245483398,20.0,,
2018-12-24,TSLA,EXIT,19.676912873840333,,-11.854897229762772,STOP LOSS (-11.9%)
2018-12-26,TSLA,BUY,21.756723664855954,20.0,,
2019-01-22,TSLA,EXIT,19.912057096862792,,-8.40532883795351,STOP LOSS (-8.4%)
2019-02-05,TSLA,BUY,21.440470880126952,20.0,,
2019-02-21,TSLA,EXIT,19.399800527954103,,-9.445399297711262,STOP LOSS (-9.4%)
2019-03-06,GOOGL,BUY,57.81575451049804,20.0,,
2019-03-21,AAPL,BUY,46.5669937133789,20.0,,
2019-03-21,MSFT,EXIT,112.61644634399414,,18.608733491546168,TAKE PROFIT (18.6%)
2019-03-21,MSFT,BUY,112.7967769226074,20.0,,
2019-05-28,AAPL,EXIT,42.63813772277832,,-8.36368822548027,STOP LOSS (-8.4%)
2019-06-03,GOOGL,EXIT,51.47005578918457,,-10.90444942360459,STOP LOSS (-10.9%)
2019-06-07,AAPL,BUY,45.56262030029296,20.0,,
2019-07-16,GOOGL,BUY,57.2460050994873,20.0,,
2019-09-19,MSFT,EXIT,133.07857153320313,,18.07528837485115,TAKE PROFIT (18.1%)
2019-09-30,AAPL,EXIT,53.78415151672363,,18.138976495624007,TAKE PROFIT (18.1%)
2019-09-30,AAPL,BUY,53.87027505798339,20.0,,
2019-10-24,TSLA,BUY,19.994649238586423,20.0,,
2019-11-04,MSFT,BUY,136.57978806152343,20.0,,
2019-11-13,AAPL,EXIT,63.700490353393555,,18.342613766148023,TAKE PROFIT (18.3%)
2019-11-13,AAPL,BUY,63.80249273986816,20.0,,
2019-11-19,TSLA,EXIT,23.948826011657715,,19.872072402915478,TAKE PROFIT (19.9%)
2019-11-19,TSLA,BUY,23.987174812316894,20.0,,
2019-11-26,TSLA,EXIT,21.910457096862793,,-8.584484550467325,STOP LOSS (-8.6%)
