date,symbol,action,price,pnl_pct,reason
2015-06-30,AAPL,SELL,28.006933212280273,,
2015-08-21,AAPL,EXIT,23.721759796142578,15.300402167056134,TAKE PROFIT (15.3%)
2015-10-23,AAPL,BUY,26.709409713745117,,
2015-12-17,AAPL,EXIT,24.548635482788086,-8.089936296289842,STOP LOSS (-8.1%)
2015-12-18,AAPL,SELL,23.884124755859375,,
2016-09-15,AAPL,EXIT,26.476356506347656,-10.853367150715213,STOP LOSS (-10.9%)
2017-06-29,AAPL,SELL,33.36577606201172,,
2017-08-02,AAPL,EXIT,36.491519927978516,-9.368113782689989,STOP LOSS (-9.4%)
2017-11-03,AAPL,BUY,40.215755462646484,,
2018-02-05,AAPL,EXIT,36.614418029785156,-8.955041106230992,STOP LOSS (-9.0%)
2018-02-07,AAPL,SELL,37.32802963256836,,
2018-02-15,AAPL,EXIT,40.6400032043457,-8.87261825598123,STOP LOSS (-8.9%)
2018-11-01,AAPL,SELL,52.59055709838867,,
2018-11-14,AAPL,EXIT,44.36231231689453,15.645859704624135,TAKE PROFIT (15.6%)
2020-03-09,AAPL,SELL,64.31356811523438,,
2020-03-23,AAPL,EXIT,54.21360397338867,15.704250965751127,TAKE PROFIT (15.7%)
2021-03-03,AAPL,SELL,118.8858871459961,,
2021-04-09,AAPL,EXIT,129.54139709472656,-8.962804757174519,STOP LOSS (-9.0%)
2022-09-22,AAPL,SELL,150.08033752441406,,
2022-12-28,AAPL,EXIT,124.05070495605469,17.34379932622756,TAKE PROFIT (17.3%)
2023-08-18,AAPL,SELL,172.46875,,
2023-09-01,AAPL,EXIT,187.26531982421875,-8.579275853868454,STOP LOSS (-8.6%)
2024-01-22,AAPL,SELL,191.89646911621094,,
2024-06-12,AAPL,EXIT,211.4347686767578,-10.18168789166967,STOP LOSS (-10.2%)
2025-01-30,AAPL,SELL,236.2991485595703,,
2025-04-04,AAPL,EXIT,187.56253051757812,20.624965573968552,TAKE PROFIT (20.6%)
2025-06-20,AAPL,SELL,200.39019775390625,,
2025-08-07,AAPL,EXIT,219.36245727539062,-9.46765846540243,STOP LOSS (-9.5%)
2015-04-30,MSFT,BUY,41.66094970703125,,
2015-06-29,MSFT,EXIT,38.250606536865234,-8.185946777853797,STOP LOSS (-8.2%)
2016-01-20,MSFT,SELL,44.37099075317383,,
2016-01-29,MSFT,EXIT,48.12753677368164,-8.46622073733864,STOP LOSS (-8.5%)
2016-06-28,MSFT,BUY,43.80599594116211,,
2016-08-03,MSFT,EXIT,50.47787857055664,15.230523781164226,TAKE PROFIT (15.2%)
2018-10-29,MSFT,SELL,96.52864074707031,,
2018-12-03,MSFT,EXIT,104.6378402709961,-8.400822244222784,STOP LOSS (-8.4%)
2021-10-29,MSFT,BUY,319.5545349121094,,
2022-01-18,MSFT,EXIT,292.172119140625,-8.568933555900141,STOP LOSS (-8.6%)
2022-04-11,MSFT,BUY,275.95355224609375,,
2022-05-11,MSFT,EXIT,252.04971313476562,-8.662269036497426,STOP LOSS (-8.7%)
2022-09-19,MSFT,SELL,237.5968780517578,,
2023-02-02,MSFT,EXIT,257.8329772949219,-8.516988694925468,STOP LOSS (-8.5%)
2023-10-13,MSFT,SELL,321.5274658203125,,
2023-11-06,MSFT,EXIT,349.7823791503906,-8.787713751915845,STOP LOSS (-8.8%)
2024-05-01,MSFT,SELL,388.96978759765625,,
2024-05-21,MSFT,EXIT,423.3165283203125,-8.830182142111237,STOP LOSS (-8.8%)
2024-10-31,MSFT,SELL,401.6518859863281,,
2024-12-05,MSFT,EXIT,438.3782043457031,-9.143818226867515,STOP LOSS (-9.1%)
2025-01-27,MSFT,SELL,430.39544677734375,,
2025-04-04,MSFT,EXIT,357.10614013671875,17.028364772301998,TAKE PROFIT (17.0%)
2015-04-20,GOOGL,SELL,27.003318786621094,,
2015-07-16,GOOGL,EXIT,29.84235191345215,-10.513645190300332,STOP LOSS (-10.5%)
2016-01-13,GOOGL,SELL,35.68357467651367,,
2016-02-02,GOOGL,EXIT,38.725433349609375,-8.524534609190383,STOP LOSS (-8.5%)
2016-07-29,GOOGL,BUY,39.24265670776367,,
2017-04-28,GOOGL,EXIT,45.847076416015625,16.829695699336664,TAKE PROFIT (16.8%)
2017-04-28,GOOGL,BUY,45.847076416015625,,
2017-11-27,GOOGL,EXIT,53.1611213684082,15.953132727646697,TAKE PROFIT (16.0%)
2020-03-10,GOOGL,SELL,63.23585510253906,,
2020-03-16,GOOGL,EXIT,53.210227966308594,15.854339472398337,TAKE PROFIT (15.9%)
2021-11-05,GOOGL,BUY,147.6318359375,,
2022-01-18,GOOGL,EXIT,134.88319396972656,-8.635428724987596,STOP LOSS (-8.6%)
2022-04-28,GOOGL,SELL,117.55094146728516,,
2022-09-21,GOOGL,EXIT,98.46617126464844,16.23531888763994,TAKE PROFIT (16.2%)
2023-02-03,GOOGL,BUY,103.92108154296875,,
2023-02-09,GOOGL,EXIT,94.23117065429688,-9.324297577354736,STOP LOSS (-9.3%)
2024-03-05,GOOGL,SELL,131.58245849609375,,
2024-03-18,GOOGL,EXIT,146.46945190429688,-11.31381308599358,STOP LOSS (-11.3%)
2025-02-24,GOOGL,SELL,178.42510986328125,,
2025-04-03,GOOGL,EXIT,150.19918823242188,15.819478352843705,TAKE PROFIT (15.8%)
2015-08-13,TSLA,SELL,16.167333602905273,,
2015-09-16,TSLA,EXIT,17.483333587646484,-8.139870290699793,STOP LOSS (-8.1%)
2016-01-14,TSLA,SELL,13.745332717895508,,
2016-02-03,TSLA,EXIT,11.565333366394043,15.859924210224834,TAKE PROFIT (15.9%)
2016-03-18,TSLA,BUY,15.515999794006348,,
2016-05-05,TSLA,EXIT,14.10200023651123,-9.113170767386379,STOP LOSS (-9.1%)
2016-05-18,TSLA,SELL,14.07800006866455,,
2016-06-07,TSLA,EXIT,15.489333152770996,-10.025096442838171,STOP LOSS (-10.0%)
2016-09-06,TSLA,SELL,13.522000312805176,,
2016-12-27,TSLA,EXIT,14.635333061218262,-8.233491514999988,STOP LOSS (-8.2%)
2017-03-27,TSLA,SELL,18.014667510986328,,
2017-04-03,TSLA,EXIT,19.90133285522461,-10.47294013662861,STOP LOSS (-10.5%)
2017-04-04,TSLA,BUY,20.246667861938477,,
2017-06-06,TSLA,EXIT,23.523332595825195,16.183723446397273,TAKE PROFIT (16.2%)
2018-08-01,TSLA,SELL,20.055999755859375,,
2018-08-02,TSLA,EXIT,23.30266761779785,-16.188013070702,STOP LOSS (-16.2%)
2018-09-12,TSLA,SELL,19.369333267211914,,
2018-10-25,TSLA,EXIT,20.99066734313965,-8.370624086851258,STOP LOSS (-8.4%)
2019-07-10,TSLA,BUY,15.928000450134277,,
2019-08-14,TSLA,EXIT,14.641332626342773,-8.07802478295797,STOP LOSS (-8.1%)
