date,symbol,action,price,pnl_pct,reason
2015-04-14,AAPL,SELL,28.08388900756836,,
2015-08-21,AAPL,EXIT,23.721759796142578,15.53249697807247,TAKE PROFIT (15.5%)
2015-10-13,AAPL,BUY,25.074275970458984,,
2016-01-06,AAPL,EXIT,22.68349838256836,-9.534782143689,STOP LOSS (-9.5%)
2016-03-14,AAPL,BUY,23.21877098083496,,
2016-04-29,AAPL,EXIT,21.230276107788086,-8.564169372651985,STOP LOSS (-8.6%)
2016-05-09,AAPL,SELL,21.14307403564453,,
2016-05-26,AAPL,EXIT,22.879358291625977,-8.21207102171752,STOP LOSS (-8.2%)
2016-06-24,AAPL,BUY,21.282073974609375,,
2016-08-05,AAPL,EXIT,24.622995376586914,15.698288644064636,TAKE PROFIT (15.7%)
2016-11-18,AAPL,SELL,25.3435115814209,,
2017-01-09,AAPL,EXIT,27.399822235107422,-8.113755850605905,STOP LOSS (-8.1%)
2017-06-29,AAPL,SELL,33.36577606201172,,
2017-08-02,AAPL,EXIT,36.491519927978516,-9.368113782689989,STOP LOSS (-9.4%)
2017-08-04,AAPL,BUY,36.31733703613281,,
2018-01-17,AAPL,EXIT,41.90455627441406,15.38444086008404,TAKE PROFIT (15.4%)
2018-02-07,AAPL,SELL,37.32802963256836,,
2018-02-15,AAPL,EXIT,40.6400032043457,-8.87261825598123,STOP LOSS (-8.9%)
2018-03-13,AAPL,BUY,42.279781341552734,,
2018-03-23,AAPL,EXIT,38.748836517333984,-8.351379104102707,STOP LOSS (-8.4%)
2018-04-19,AAPL,SELL,40.59536361694336,,
2018-05-09,AAPL,EXIT,44.01590347290039,-8.425937228283367,STOP LOSS (-8.4%)
2018-05-11,AAPL,BUY,44.475704193115234,,
2018-08-17,AAPL,EXIT,51.4924430847168,15.776566147518675,TAKE PROFIT (15.8%)
2018-11-01,AAPL,SELL,52.59055709838867,,
2018-11-14,AAPL,EXIT,44.36231231689453,15.645859704624135,TAKE PROFIT (15.6%)
2019-02-14,AAPL,BUY,40.73650360107422,,
