date,symbol,action,price,qty,risk_mult
2018-10-16,AAPL,BUY,52.61605287780761,15.0,1.0
2018-10-16,MSFT,BUY,103.25712310180663,15.0,1.0
2018-12-17,TSLA,BUY,23.246583041381832,15.0,1.0
2019-04-30,GOOGL,BUY,59.50416165161132,15.0,1.0
