date,symbol,action,price,pnl_pct,reason
2025-01-30,AAPL,SELL,236.2991485595703,,
2025-04-04,AAPL,EXIT,187.56253051757812,20.624965573968552,TAKE PROFIT (20.6%)
2025-06-20,AAPL,SELL,200.39019775390625,,
2025-08-07,AAPL,EXIT,219.36245727539062,-9.46765846540243,STOP LOSS (-9.5%)
2024-05-01,MSFT,SELL,388.96978759765625,,
2024-05-21,MSFT,EXIT,423.3165283203125,-8.830182142111237,STOP LOSS (-8.8%)
2024-10-31,MSFT,SELL,401.6518859863281,,
2024-12-05,MSFT,EXIT,438.3782043457031,-9.143818226867515,STOP LOSS (-9.1%)
2025-01-27,MSFT,SELL,430.39544677734375,,
2025-04-04,MSFT,EXIT,357.10614013671875,17.028364772301998,TAKE PROFIT (17.0%)
2025-02-24,GOOGL,SELL,178.42510986328125,,
2025-04-03,GOOGL,EXIT,150.19918823242188,15.819478352843705,TAKE PROFIT (15.8%)
2024-08-22,TSLA,SELL,210.66000366210938,,
2024-09-05,TSLA,EXIT,230.1699981689453,-9.261366262069009,STOP LOSS (-9.3%)
2024-09-23,TSLA,BUY,250.0,,
2024-10-11,TSLA,EXIT,217.8000030517578,-12.879998779296875,STOP LOSS (-12.9%)
2025-12-22,TSLA,BUY,488.7300109863281,,
2026-01-02,TSLA,EXIT,438.07000732421875,-10.365642077078535,STOP LOSS (-10.4%)
2026-01-30,TSLA,SELL,430.4100036621094,,
2026-03-27,TSLA,EXIT,361.8299865722656,15.93364849941593,TAKE PROFIT (15.9%)
